"N","Dizinha","#88bff7","Kurumin","2004.1.4","2008",,"http://dizinha.codigolivre.org.br/",,,,,,,,,
"N","NeoDizinha","#b6dbf6","Dizinha","2006.5",,,"http://neodizinha.web44.net/","Patinho Faminto","2006.8","http://neodizinha.web44.net/",,,,,,
"N","Kalango","#a0a067","Kurumin","2004.2.1","2006.11.7",,"http://pt.wikipedia.org/wiki/Kalango_Linux",,,,,,,,,
"N","Poseidon","#42328e","Kurumin","2005.3.10",,,"http://www.poseidonlinux.org/",,,,,,,,,
"N","Quantian","#3366dd","Knoppix","2003.3.6","2006.3.1",,"http://dirk.eddelbuettel.com/quantian.html",,,,,,,,,
"N","Damn Small Linux","#cb9340","Knoppix","2003.6",,,"http://www.damnsmalllinux.org/",,,,,,,,,
"N","Hikarunix","#e48535","Damn Small Linux","2004.9.17","2005.9.21",,"http://www.assembla.com/wiki/show/Hikarunix",,,,,,,,,
"N","DSL-N","#000","Damn Small Linux","2006.5.8","2006.8.24",,"http://www.damnsmalllinux.org/dsl-n/",,,,,,,,,
"N","Damn Vulnerable Linux","#ef0101","Damn Small Linux","2006.11","2010.12",,"http://www.damnvulnerablelinux.org/",,,,,,,,,
"N","Morphix","#8b8b8b","Knoppix","2003.3.19","2010.3.29",,"http://www.morphix.org/",,,,,,,,,
"N","Hiwix","#376e08","Morphix","2004.2.28",,,"http://www.linuxsir.org/bbs/showthread.php?t=92689","Hiweed","2004.3.3","http://zh.wikipedia.org/zh-tw/Linux_Deepin","Deepin","2009.12","http://linux.deepin.org/",,,
"N","Aquamorph","#38587c","Morphix","2004.5",,,"http://aquariusoft.org/page/linux/aquamorph/",,,,,,,,,
"N","ZoneCD","#020202","Morphix","2004.6","2005.11.16",,"http://www.publicip.net/",,,,,,,,,
"N","Dreamlinux","#009c9c","Morphix","2006.2.12","2012.9",,"http://www.dreamlinux.info/",,,,,,,,,
"N","Danix","#3b679f","Knoppix","2003.11.5",,,"http://www.danix.cz/",,,,,,,,,
"N","Shabdix","#f64f67","Knoppix","2003.12.26","2004.9",,"http://shabdix.berlios.de/",,,,,,,,,
"N","INSERT","#003399","Knoppix","2003.8.1","2007.2.27",,"http://www.inside-security.de/insert_en.html",,,,,,,,,
"N","KnoppMyth","#92bac4","Knoppix","2003.8.8","2009.1.28",,"http://mysettopbox.tv/knoppmyth.html",,,,,,,,,
"N","Medialinux","#778888","Knoppix","2003.11",,,"http://www.linuxfordevices.com/c/a/News/Introducing-MediaLinux-a-new-realtime-Linux-approach/","Mediainlinux","2004.7","http://distrowatch.com/table.php?distribution=artistx","ArtistX","2006.11","www.artistx.org/",,,
"N","Kanotix","#c8b582","Knoppix","2003.12.24",,,"http://www.kanotix.com/",,,,,,,,,
"N","Auditor Security Linux","#5c7152","Kanotix","2004.5.20",,,"http://en.wikipedia.org/wiki/Auditor_Security_Collection","Backtrack","2006.5.26","http://www.backtrack-linux.org/",,,,,,
"N","Parsix","#e48535","Kanotix","2005.1.25",,,"http://www.parsix.org/html/index.php",,,,,,,,,
"N","Feather","#828282","Knoppix","2003.12","2005.7.4",,"http://featherlinux.berlios.de/",,,,,,,,,
"N","Bioknoppix","#5e4ab0","Knoppix","2004.2.20","2004.8.13",,"http://bioknoppix.hpcf.upr.edu/",,,,,,,,,
"N","Joatha","#e55522","Knoppix","2004.4",,,"http://code.google.com/p/joatha/",,,,,,,,,
"N","MAX","#477dbe","Knoppix","2004.5.27",,,"http://www.educa2.madrid.org/web/max",,,,,,,,,
"N","B2D","#99ccff","Knoppix","2004.6","2010.5.16",,"http://b2d-linux.com/",,"INFO:","http://ftp.at.linuxfromscratch.org/.vhost/distrowatch.com/weekly.php?issue=20041011",,,,,,
"N","Kaella","#be2800","Knoppix","2004.7",,,"http://www.kaella.org/",,,,,,,,,
"N","Whoppix","#445fff","Knoppix","2004.8","2006.2.5",,"http://swik.net/WHoppix","WHAX","2005.7.3","http://distrowatch.com/table.php?distribution=whoppix",,,,,,
"N","Symphony OS","#d41316","Knoppix","2005.5.12",,,"http://symphonyos.com/",,,,,,,,,
"N","ParallelKnoppix","#a0553c","Knoppix","2005.4.25","2008.3.1",,"http://pareto.uab.es/mcreel/ParallelKnoppix/",,,,,,,,,
"N","Musix","#000064","Knoppix","2005.9.12",,,"http://www.musix.org.ar/en/index.html",,,,,,,,,
"N","Gibraltar","#f00","Debian","2000.7.31",,,"http://www.gibraltar.at/",,,,,,,,,
"N","LEAF","#00b4d7","Debian","2000.10.29",,,"http://leaf.sourceforge.net/",,,,,,,,,
"N","Progeny","#121356","Debian","2001.4.9","2007.4.30",,"http://en.wikipedia.org/wiki/Progeny_Linux_Systems",,,,,,,,,
"N","Skolelinux","#e0b1b7","Debian","2001.7.2",,,"http://www.slx.no/",,,,,,,,,
"N","DeMuDi","#be41e3","Debian","2001.7.19","2006",,"http://wiki.debian.org/DebianMultimedia",,,,,,,,,
"N","64Studio","#ABBEE4","DeMuDi","2005.4",,,"http://www.64studio.com",,,,,,,,,
"N","Lindows","#3b806e","Debian","2001.8","2008.8.2",,"http://en.wikipedia.org/wiki/Lindows","Linspire","2004.0.0","http://www.linspire.com/",,,,,,
"N","Freespire","#007197","Lindows","2006.4.24","2008.10.19",,"http://www.freespire.org/",,,,,,,,,
"N","gnuLiNex","#30632a","Debian","2002.6.9","2011.12.31",,"http://www.gnulinex.org/",,,,,,,,,
"N","Lihuen","#b3c4ac","gnuLiNex","2005.9.1",,,"http://lihuen.info.unlp.edu.ar/",,,,,,,,,
"N","Rxart","#666666","Debian","2002.12",,,"http://www.pixartargentina.com.ar/",,,,,,,,,
"N","BlackRhino","#000","Debian","2003.3.4","2007.5",,"http://web.archive.org/web/20080228074951/http://blackrhino.xrhino.com/main.php?page=news",,,,,,,,,
"N","miniwoody","#12ad12","Debian","2003.3.15","2004.1.14",,"http://www.pro-linux.de/news/1/5322/miniwoody-10.html","Bonzai","2003.5.20","http://distrowatch.com/table.php?distribution=bonzai",,,,,,
"N","MEPIS","#8598c0","Debian","2003.5",,,"https://www.mepis.org/","SimplyMEPIS","2004.9.7","https://www.mepis.org/",,,,,,
"N","antiX","#443300","MEPIS","2007.8.22",,,"http://antix.mepis.com/",,,,,,,,,
"N","Swift","#00ae01","antiX","2010.11.15",,,"http://www.swiftlinux.org/",,,,,,,,,
"N","ASLinux","#e3763f","Debian","2003.10.1",,,"http://www.activasistemas.com/index.php?id=7",,,,,,,,,
"N","Impi","#050505","Debian","2003.11.1","2006.1",,"http://en.wikipedia.org/wiki/Impi_Linux",,,,,,,,,
"N","Xebian","#dfdfdf","Debian","2003.12.17","2005.6.28",,"http://web.archive.org/web/20031230131115/http://www.xbox-linux.org/",,,,,,,,,
"N","Bluewall","#4bb8c9","Debian","2004.1.6","2006.2.5",,"http://distrowatch.com/table.php?distribution=bluewall",,,,,,,,,
"N","Amber","#ff9900","Debian","2004.2","2006.4",,"http://distrowatch.com/table.php?distribution=amber",,,,,,,,,
"N","K-DEMar","#416db7","Debian","2004.2.14",,,"http://distrowatch.com/table.php?distribution=kdemar","kademar","2009.6.6","http://www.kademar.org/",,,,,,
"N","Guadalinex","#369036","Debian","2004.2.24",,,"http://www.guadalinex.org/",,,,,,,,,
"N","Euronode","#ff2222","Debian","2004.3.13","2006.1.10",,"http://euronode.org/",,"INFO:","http://web.archive.org/web/20071001144149/http://euronode.org/",,,,,,
"N","DRBL","#333","Debian","2004.4.1",,,"http://drbl.org/",,,,,,,,,
"N","DeadCD","#9bb657","Debian","2004.4","2006.6",,"http://distrowatch.com/table.php?distribution=olive","Olive","2006.5","http://distrowatch.com/table.php?distribution=olive",,,,,,
"N","Clonezilla Live","#f79f5d","Debian","2004.5",,,"http://clonezilla.org/",,,,,,,,,
"N","Underground Desktop","#cc3344","Debian","2004.6","2006.10.14",,"http://distrowatch.com/table.php?distribution=underground",,,,,,,,,
"N","grml","#e7c71c","Debian","2004.8.31",,,"http://grml.org/",,,,,,,,,
"N","UserLinux","#ddbb66","Debian","2004.9","2005.5",,"http://en.wikipedia.org/wiki/UserLinux",,,,,,,,,
"N","Ubuntu","#675a3b","Debian","2004.10.20",,,"http://www.ubuntu.com/",,,,,,,,,
"N","Kubuntu","#4f5695","Ubuntu","2005.4.8",,,"http://www.kubuntu.org/",,,,,,,,,
"N","Bardinux","#832c6a","Kubuntu","2006.7.7",,,"http://bardinux.ull.es/",,,,,,,,,
"N","Ulteo","#4fb75e","Kubuntu","2006.12.7",,,"http://www.ulteo.com/",,,,,,,,,
"N","DEFT","#555555","Kubuntu","2007.1",,,"http://www.deftlinux.net/",,,,,,,,,
"N","Polippix","#66aacc","Kubuntu","2007.3.20",,,"http://polippix.org/",,,,,,,,,
"N","Asturix","#55cc00","Kubuntu","2009.2.5",,,"http://asturix.com/",,,,,,,,,
"N","Edubuntu","#a12726","Ubuntu","2005.10.13",,,"http://edubuntu.org/",,,,,,,,,
"N","Arabian","#225571","Ubuntu","2005.3","2009.7",,"http://arabian-linux.sourceforge.net/",,,,,,,,,
"N","nUbuntu","#702b2e","Ubuntu","2005.12.18","2010.4.4 ",,"http://www.nubuntu.org/",,,,,,,,,
"N","Xubuntu","#53525f","Ubuntu","2006.6.1",,,"http://www.xubuntu.org/",,,,,,,,,
"// N","Mystras OS","#DD4B39","Xubuntu","2012.2.8",,,"http://mystras.cloudfactory.eu/",,,,,,,,,
"// N","Xinutop",,"Xubuntu","2012.5.2",,,"http://marinux.pk973.org/",,,,,,,,,
"N","Christian Edition","#761f0c","Ubuntu","2006.7.23",,,"http://ubuntuce.com/",,,,,,,,,
"N","PUD","#5c7684","Ubuntu","2006.8",,,"http://xpud.org/","xPUD","2008.6.1","http://xpud.org/",,,,,,
"N","Mint","#5fec52","Ubuntu","2006.8.27",,,"http://www.linuxmint.com/",,,,,,,,,
"N","quantOS","#1b1b1b","Mint","2011.6.15","2012.2.28",,"http://www.quantsec.com/",,,,,,,,,
"N","Commodore OS","#66aaff","Mint","2011.11.11",,,"http://www.commodoreusa.net/",,,,,,,,,
"N","gNewSense","#c1b384","Ubuntu","2006.11.2",,,"http://www.gnewsense.org/",,,,,,,,,
"N","Satanic Edition","#f00","Ubuntu","2006.12.13",,,"http://ubuntusatanic.org/",,,,,,,,,
"N","Muslim Edition","#57793d","Ubuntu","2007.1.14",,,"http://distrowatch.com/table.php?distribution=sabily","Sabily","2009.5.12","http://www.sabily.org/",,,,,,
"N","Uberyl","#0066bb","Ubuntu","2007.1.16",,,"http://pollolinux.blogia.com/","ComFusion","2007.7.31","http://www.comfusion.es/",,,,,,
"N","Madbox","#666666","Ubuntu","2007.3.17",,,"http://madbox.tuxfamily.org/",,,,,,,,,
"N","Ubuntu Studio","#0099ee","Ubuntu","2007.5.10",,,"http://ubuntustudio.org/",,,,,,,,,
"N","Kiwi","#f4b75e","Ubuntu","2007.10.1",,,"http://www.kiwilinux.org/",,,,,,,,,
"N","Geubuntu","#ee8354","Ubuntu","2007.9.13",,,"http://opengeu.intilinux.com/","OpenGEU","2008.1.13","http://opengeu.intilinux.com/",,,,,,
"N","Greenie","#829b1a","Ubuntu","2007.9.14",,,"http://greenie.datagen.sk/",,,,,,,,,
"N","Ubuntulite","#60b3ff","Ubuntu","2007.9",,,"http://u-lite.org/","U-lite","2008.11.6","http://u-lite.org/",,,,,,
"N","Fluxbuntu","#53ff5f","Ubuntu","2007.10",,,"http://www.fluxbuntu.org/",,,,,,,,,
"N","Mythbuntu","#000","Ubuntu","2007.6.4",,,"http://www.mythbuntu.org/",,,,,,,,,
"N","Moblin","#3366bb","Ubuntu","2007.7","2008.8",,"http://moblin.org/",,,,,,,,,
"N","gOS","#60b384","Ubuntu","2007.11.1","2009.1.3",,"http://www.thinkgos.com/",,,,,,,,,
"N","Eeebuntu","#669ad0","Ubuntu","2007.12",,,"http://eeebuntu.org/","Aurora OS","2010.6","http://auroraos.org/",,,,,,
"N","CrunchBang","#000","Ubuntu","2008.1.22",,,"http://crunchbanglinux.org/",,,,,,,,,
"N","Zebuntu","#c8ff00","Ubuntu","2008.2.15",,,"http://www.zevenos.com/","ZevenOS","2008.12.19","http://www.zevenos.com/",,,,,,
"N","Ubuntu Rescue Remix","#ddaa11","Ubuntu","2008.3.6",,,"http://ubuntu-rescue-remix.org/",,,,,,,,,
"N","Ultimate Edition","#999999","Ubuntu","2008.5",,,"http://ultimateedition.info",,,,,,,,,
"N","Ubuntu eee","#c8ff84","Ubuntu","2008.6.9",,,"http://www.geteasypeasy.com/","Easy Peasy","2009.1.5","http://www.geteasypeasy.com/",,,,,,
"N","Leeenux","#2e5f5a","Ubuntu eee","2009.10.17",,,"http://www.leeenux-linux.com/",,,,,,,,,
"N","Maryan","#515151","Ubuntu","2008.8.1",,,"http://www.maryanlinux.com/",,,,,,,,,
"N","MoonOS","#4CC334","Ubuntu","2008.8.1",,,"http://www.moonos.org/",,,,,,,,,
"N","Zorin OS","#055AA0","Ubuntu","2008.10",,,"http://zorin-os.webs.com/",,,,,,,,,
"// N","INX","#d8ac08","Ubuntu","2008.10.5",,,"http://inx.maincontent.net/",,,,,,,,,
"N","eBox","#f49d00","Ubuntu","2008.10.18",,,"http://ebox-platform.com/","Zentyal","2010.9.1","http://www.zentyal.com/",,,,,,
"N","CAINE","#f3a424","Ubuntu","2008.10.25",,,"http://www.caine-live.net/",,,,,,,,,
"N","Newtoos","#2b4083","Ubuntu","2008.11.13",,,"http://newtoos.greenie.sk/",,,,,,,,,
"N","XBMC Live","#4c4c4c","Ubuntu","2008.11.15",,,"http://xbmc.org/",,,,,,,,,
"N","Vibuntu","#bbbbbb","Ubuntu","2008.12.6 ",,,"http://blinuxman.net/projects/oldvinux.php","VINUX","2008.12.12","http://vinuxproject.org/",,,,,,
"N","A/V","#334466","Ubuntu","2009.2",,,"http://www.bandshed.net/AVLinux.html","AV","2009.5.8","http://ardour.org/node/2669",,,,,,
"N","Qimo","#1070c0","Ubuntu","2009.2.18",,,"http://www.qimo4kids.com/",,,,,,,,,
"N","Monomaxos","#002299","Ubuntu","2009.3",,,"http://monomaxos.com/",,,,,,,,,
"N","Lubuntu","#0169c9","Ubuntu","2009.4.13",,,"http://lubuntu.net/",,,,,,,,,
"N","Peppermint OS","#ae000e","Lubuntu","2010.4.22",,,"http://peppermintos.com/",,,,,,,,,
"N","wattOS","#68b03e","Ubuntu","2009.6.29",,,"http://www.planetwatt.com/",,,,,,,,,
"N","Chromium OS","#224488","Ubuntu","2009.7.1",,,"http://dev.chromium.org/chromium-os",,,,,,,,,
"N","Zenix OS","#ff8c00","Ubuntu","2009.11.9",,,"http://ubuntuforums.org/showthread.php?t=1320899",,,,,,,,,
"N","Ylmf","#228c2a","Ubuntu","2009.12.26",,,"http://www.ylmf.org/","StartOS","2012.3.27","http://www.startos.org/",,"NOTE:","From 4.0 not based on Ubuntu anymore (independent)",,,
"N","Element","#006600","Ubuntu","2010.2.17",,,"http://www.elementmypc.com/main/index.php",,,,,,,,,
"N","Netrunner","#5997de","Ubuntu","2010.3.31",,,"http://www.netrunner-os.com/",,,,,,,,,
"N","GnackTrack","#d73838","Ubuntu","2010.4.19",,,"http://www.gnacktrack.co.uk/",,,,,,,,,
"N","Dax OS","#55ccaa","Ubuntu","2010.5.1",,,"http://www.daxos.linuxerz.org/",,,,,,,,,
"N","Jolicloud","#37b9e3","Ubuntu","2010.7.9",,,"http://www.jolicloud.com/",,,,,,,,,
"N","AriOS","#6282A9","Ubuntu","2010.8.11",,,"http://arioslinux.org/",,,,,,,,,
"N","SecUntu","#aac8e0","Ubuntu","2010.9.1",,,"http://linux.philosweb.com/secuntu/",,,,,,,,,
"N","Tango Studio","#729fcf","Ubuntu","2010.9.6",,,"http://tangostudio.tuxfamily.org",,,,,,,,,
"N","BackBox","#2e2e2e","Ubuntu","2010.9.9",,,"http://www.backbox.org/",,,,,,,,,
"N","Dream Studio","#636","Ubuntu","2010.9.11",,,"http://dream.dickmacinnis.com/",,,,,,,,,
"N","Pinguy OS","#05a7fb","Ubuntu","2010.9.20",,,"http://pinguy-os.sourceforge.net/",,,,,,,,,
"// N","NodeZero","#121315","Ubuntu","2010.10.6",,,"http://netinfinity.org/",,,,,,,,,
"N","Bodhi","#5b860a","Ubuntu","2010.11.17",,,"http://bodhilinux.com/",,,,,,,,,
"// N","Blackbuntu","#000","Ubuntu","2010.12.23",,,"http://www.blackbuntu.com/",,,,,,,,,
"N","P@xtreme","#bb4433","Ubuntu","2011.1.8",,,"http://pxtreme.hu/",,,,,,,,,
"// N","iQunix OS","#8866ee","Ubuntu","2011.3.15",,,"http://iqunix.blogspot.ch/",,,,,,,,,
"N","Elementary OS","#999999","Ubuntu","2011.3.31",,,"http://elementaryos.org/",,,,,,,,,
"// N","icefeast","#0053bf","Ubuntu","2011.4.21",,,"http://icefeast.tk/",,,,,,,,,
"// N","Sn0wL1nuX","#88aaaa","Ubuntu","2011.5.1",,,"http://sourceforge.net/projects/sn0wl1nux/files/11/","LuninuX OS","2011.11.9","http://luninuxos.com/",,,,,,
"// N","Bigtux","#219cc5","Ubuntu","2011.6.9",,,"http://bigtux.at.ua/",,,,,,,,,
"// N","Jeoss","#595959","Ubuntu","2011.6.18",,,"http://www.vercot.com/~jeoss/",,,,,,,,,
"// N","Redo","#345278","Ubuntu","2011.7.1",,,"http://redobackup.org/",,,,,,,,,
"N","Pear OS","#777777","Ubuntu","2011.8.15",,,"http://www.pear-os-linux.fr/",,,,,,,,,
"// N","Freezy",,"Ubuntu","2011.11.3",,,"http://freezylinux.altervista.org/",,"INFO:","http://ubuntuforums.org/showthread.php?t=1874552",,,,,,
"N","Descent|OS","#0066FF","Ubuntu","2011.12.13",,,"http://www.descentos.org/",,,,,,,,,
"// N","Arduloko OS","#155c06","Ubuntu","2012.2.21",,,"http://arduloko.wordpress.com/",,,,,,,,,
"N","TorBOX","#000","Ubuntu","2012.2.29",,,"https://github.com/adrelanos/Whonix","Whonix","2012.9","https://github.com/adrelanos/Whonix",,,,,,
"// N","Hybride","#9944ff","Ubuntu","2012.5.5",,,"http://www.hybryde.org/",,,,,,,,,
"N","Mandragora","#000","Ubuntu","2012.5.17",,,"http://sourceforge.net/p/mandragoralinux/wiki/Home/",,,,,,,,,
"// N","jfLinux","#b0b366","Ubuntu","2012.5.21",,,"http://www.jflinux.org/",,,,,,,,,
"// N","MLIPenguin-OS",,"Ubuntu","2012.6.3",,,"http://sourceforge.net/projects/mlipenguinos/",,,,,,,,,
"N","Airinux","#b3ca88","Ubuntu","2012.6.28",,,"http://airinux.blogspot.ch/",,,,,,,,,
"N","Santoku","#222222","Ubuntu","2012.7.25",,,"https://santoku-linux.com/",,,,,,,,,
"N","Vulnix","#000","Ubuntu","2012.9.10",,,"http://www.rebootuser.com/?cat=365",,,,,,,,,
"N","BeatriX","#c7bff0","Debian","2004.11.24","2005.1.29",,"http://en.wikipedia.org/wiki/BeatrIX",,,,,,,,,
"N","Arco-Debian","#555555","Debian","2004.12.1",,,"http://www2.cddc.vt.edu/pub/linux/distributions/arco-debian/","Arc-Live","2008.11.25","http://arcosvn.sourceforge.net/",,,,,,
"N","MoLinux","#ad1d5a","Debian","2004.12.15",,,"http://www.molinux.info/",,,,,,,,,
"N","Tirwal","#e20a16","MoLinux","2005.2","2006",,"http://tirwal.terueldigital.es/",,,,,,,,,
"N","BlankOn","#0c7a00","Debian","2005.2.1",,,"http://www.blankonlinux.or.id/",,,,,,,,,
"N","Voyage","#005a8c","Debian","2005.2.14",,,"http://linux.voyage.hk/",,,,,,,,,
"N","Trisquel","#5fc8ff","Debian","2005.4",,,"http://trisquel.info/",,,,,,,,,
"N","LliureX","#369","Debian","2005.6.5",,,"http://lliurex.net/",,,,,,,,,
"N","VENENUX","#1841bd","Debian","2005.6.6",,,"http://venenux.org/",,,,,,,,,
"N","Elive","#ebe25f","Debian","2005.7.22",,,"http://www.elivecd.org/",,,,,,,,,
"N","Tuquito","#96dec8","Debian","2005.9",,,"http://www.tuquito.org.ar/",,,,,,,,,
"N","OS2005","#fa8700","Debian","2005.11",,,"http://maemo.org/","Maemo","2009.11","http://maemo.org/","Meego Harmattan","2011.6.21","http://maemo.org/",,,
"N","ThinClientOS","#bb1111","Debian","2005.11.10",,,"http://www.2x.com/",,,,,,,,,
"N","NepaLinux","#a02727","Debian","2005.12.22",,,"http://www.nepalinux.org/",,,,,,,,,
"N","Resulinux","#ff6600","Debian","2005.1.25",,,"http://www.resulinux.net/",,,,,,,,,
"N","Epidemic","#4da20f","Debian","2006.2.16",,,"http://www.epidemiclinux.org/",,,,,,,,,
"N","Vyatta","#ff9933","Debian","2006.3",,,"http://www.vyatta.org/",,,,,,,,,
"N","Librassoc","#9999aa","Debian","2006.3.23","2008.1.18",,"http://www.librassoc.be/",,,,,,,,,
"N","PureOS","#2337ff","Debian","2006.8.5",,,"http://pureos.org/",,,,,,,,,
"N","sidux","#7e7e86","Debian","2006.11.24",,,"http://www.sidux.com/","aptosid","2010.9.11","http://www.sidux.com/",,,,,,
"N","siduction","#535d6c","sidux","2011.12.21",,,"http://siduction.org/",,,,,,,,,
"N","BOSS","#4848d2","Debian","2007.1.10",,,"http://bosslinux.in/",,,,,,,,,
"N","Webconverger","#ffff00","Debian","2007.4.6",,,"http://webconverger.com/",,,,,,,,,
"N","PelicanHPC","#a0553c","Debian","2008.3.1",,,"http://idea.uab.es/mcreel/ParallelKnoppix/",,,,,,,,,
"N","GALPon MiniNo","#a9290a","Debian","2008.4",,,"http://minino.galpon.org/",,,,,,,,,
"N","Proxmox","#e36f1e","Debian","2008.4.15",,,"http://www.proxmox.com/",,,,,,,,,
"N","Estrella Roja","#f00","Debian","2008.6.11",,,"http://www.estrellaroja.info/",,,,,,,,,
"N","Inquisitor","#cc0000","Debian","2008.7.20",,,"http://www.inquisitor.ru/",,,,,,,,,
"N","Metamorphose","#5b7df7","Debian","2008.12",,,"http://www.metamorphoselinux.net/",,,,,,,,,
"N","Nova","#3d778a","Debian","2009.2.12",,,"http://www.nova.cu/",,,,,,,,,
"N","Canaima","#452f27","Debian","2009.6.5",,,"http://canaima.softwarelibre.gob.ve/",,,,,,,,,
"N","Tails","#6e2daf","Debian","2009.6.23",,,"https://tails.boum.org/",,,,,,,,,
"N","Matriux","#dd2222","Debian","2009.11.27",,,"http://www.matriux.com/",,,,,,,,,
"N","Semplice","#290c6a","Debian","2009.12.6",,,"http://semplice-linux.sourceforge.net/",,,,,,,,,
"#N","Sword OS","#70BEA3","Debian","2010.3","2010.6.25",,"http://swordos.wordpress.com/",,,,,,,,,
"N","DoudouLinux","#524592","Debian","2010.6",,,"http://doudoulinux.org/",,,,,,,,,
"N","Linux Mint Debian","#5fec52","Debian","2010.9.7",,,"http://linuxmint.com/",,,,,,,,,
"N","Progress","#2455a4","Debian","2010.11.23",,,"http://www.progress-linux.org/",,,,,,,,,
"N","GNUGuitarINUX","#898989","Debian","2010.12.31",,,"http://gnuguitarinux.sourceforge.net/",,,,,,,,,
"N","SalineOS","#485588","Debian","2011.1.17",,,"http://www.salineos.com/",,,,,,,,,
"N","Conducit","#115098","Debian","2011.1.19",,,"http://conducit.de/",,,,,,,,,
"N","Liquid Lemur","#457430","Debian","2011.2.2",,,"http://liquidlemur.org/",,,,,,,,,
"N","Red Ribbon","#000","Debian","2011.6.13",,,"http://redribbon.t15.org/",,,,,,,,,
"N","Snowlinux","#095197","Debian","2011.7.17",,,"http://www.snowlinux.de/",,,,,,,,,
"N","OpenMediaVault","#75777a","Debian","2011.10.17",,,"http://www.openmediavault.org/",,,,,,,,,
"// N","SolusOS","#2244cc","Debian","2012.2.22",,,"http://solusos.com/",,,,,,,,,
"N","srvRX live","#888","Debian","2012.3.10",,,"http://sourceforge.net/projects/srvrx/",,,,,,,,,
"// N","AtlasX","#447788","Debian","2012.4.1",,,"http://www.atlasx.org/",,,,,,,,,
"N","Xamin","#448bb8","Debian","2012.5.14",,,"http://xamin.ir/",,,,,,,,,
"// N","YunoHost","#111111","Debian","2012.5.31",,,"http://yunohost.org/",,,,,,,,,
"// N","Cultix","#003355","Debian","2012.6.27",,,"http://cultix.cu.cc/",,,,,,,,,
"// N","SprezzOS","#8070d8","Debian","2012.7.1",,,"http://www.sprezzatech.com/sprezzos.html",,,,,,,,,
,,,,,,,,,,,,,,,,
"#N","Android","#a4c639",,"2007.11.5",,,"http://www.android.com/",,,,,,,,,
"#N","Ophone","#77f7ff","Android","2009.8",,,"http://en.ophonesdn.com/",,,,,,,,,
"N","webOS","#3ea3bd",,"2009.6.6",,,"https://developer.palm.com/",,,,,,,,,
,,,,,,,,,,,,,,,,
"N","Trans-Ameritech","#ff1600",,"1995.3","1997.1",,"http://oss.sgi.com/LDP/HOWTO/CD-Distributions-EN-HOWTO/iii-others.html",,,,,,,,,
"N","Monkey","#8b3706",,"1996.10","1997.5.8",,"http://projectdevolve.tripod.com/",,,,,,,,,
"N","Mini","#55b7f4",,"1995.2","1995.10",,"http://en.wikipedia.org/wiki/Mini_Linux",,,,,,,,,
"N","Bogus","#8ecab5",,"1994.1","1994.10",,"http://www.cs.unc.edu/~faith/bogus.html",,,,,,,,,
